src,dst,cosine_sim
12,1334,0.7090897
23,40,0.83520436
23,51,0.8604512
23,2408,0.7819454
23,3756,0.8579014
23,3833,0.7400131
23,4102,0.9477374
23,7574,0.75092214
23,9235,0.7340232
23,12137,0.9483243
23,12485,0.86083657
23,13203,0.7830464
23,13683,0.8424426
23,13701,0.90863615
23,13703,0.9071247
23,14080,0.77374077
23,15227,0.9341241
23,20297,0.8891896
23,21117,0.9435529
23,22049,0.912171
23,22597,0.95015275
23,23095,0.93266374
23,23141,0.94037205
23,24785,0.7460029
23,25026,0.75502306
23,25070,0.7587431
23,26306,0.7156459
23,32746,0.93894404
23,38008,0.84513056
23,40667,0.7264382
23,43205,0.7608586
23,44806,0.7191661
23,46161,0.9484438
23,46192,0.72327346
24,27368,0.8981488
33,20200,0.78610075
33,20594,0.78610075
33,27370,0.8004358
39,27374,0.7252083
40,23,0.83520436
40,51,0.7954821
40,2408,0.7226711
40,3756,0.77450424
40,4102,0.8635664
40,12137,0.8629836
40,12485,0.7833131
40,13203,0.70743454
40,13683,0.7551077
40,13701,0.8280828
40,13703,0.82466334
40,15227,0.8450269
40,20297,0.803455
40,21117,0.85989356
40,22049,0.84223795
40,22597,0.85885
40,23095,0.8486279
40,23141,0.86122906
40,32746,0.85923916
40,38008,0.7642571
40,46161,0.86187565
51,23,0.8604512
51,40,0.7954821
51,2408,0.7304817
51,3756,0.8251466
51,3833,0.71060985
51,4102,0.9078605
51,7574,0.71576345
51,9235,0.7078109
51,12137,0.8918228
51,12485,0.81344134
51,13203,0.74682164
51,13683,0.8059602
51,13701,0.8575525
51,13703,0.85113776
51,14080,0.7580529
51,15227,0.88147587
51,20297,0.8518385
51,21117,0.88953626
51,22049,0.87182385
51,22597,0.8931696
51,23095,0.8785434
51,23141,0.8961406
51,25026,0.70960134
51,25070,0.7247274
51,32746,0.8894935
51,38008,0.80936986
51,40667,0.7188771
51,43205,0.734677
51,46161,0.8957749
52,27387,0.75305974
54,27420,0.77845323
106,27534,0.78116167
113,27469,0.8537126
123,24753,0.70432866
123,27416,1.0
150,27521,1.0
150,29198,1.0
175,8116,0.7779607
175,20437,0.7779607
175,26274,0.7779607
175,32749,0.7074025
196,27485,0.7123711
207,27643,0.86914194
224,27662,0.87342143
231,19200,0.8323229
231,25506,0.8056894
247,27692,0.8741346
250,4745,0.80586034
250,7519,0.81805193
250,18148,0.7726609
250,18686,0.81361693
250,22717,0.75634235
250,27690,0.8759774
250,29028,0.8258068
250,32007,0.82184136
250,44803,0.80509603
260,27709,0.99132556
275,27724,0.90908444
289,27741,0.9391229
299,572,0.7707536
299,11053,0.7021716
299,11136,0.7707536
299,29222,0.7707536
299,31778,0.7707536
299,42276,0.7707536
302,27750,0.89010954
315,42362,0.7605652
320,27768,0.96044654
325,27776,1.0
333,27790,0.8540525
335,27792,0.8740647
350,27816,0.83948416
352,27817,0.79434353
368,44055,1.0
369,27830,0.76039624
374,27841,0.7907186
402,27873,1.0
407,27524,0.8056195
426,27908,0.96115696
448,27928,0.93378615
461,11114,1.0
471,27959,0.92763215
507,28003,0.99915415
540,28044,0.90534943
561,28072,0.97939277
565,28079,0.98574746
569,28083,0.92171305
572,299,0.7707536
572,11136,1.0
572,14081,0.8680595
572,16809,0.7972267
572,23682,0.76283884
572,24699,0.7608909
572,29222,1.0
572,31778,1.0
572,41708,0.8680595
572,42276,1.0
572,44260,0.7716832
582,10231,0.7737387
582,10467,0.9917083
582,15196,0.99999994
582,16824,0.99999994
582,19884,0.99999994
582,25586,0.9917083
582,44014,0.7737387
583,28096,0.895586
600,45465,0.7686251
613,8173,0.73609924
613,25786,0.7218354
613,33070,0.7218354
613,34305,0.7218354
620,4062,1.0
620,9200,1.0
620,10968,0.7839078
620,13716,0.72934234
620,22364,0.7839078
620,24683,1.0
620,26166,0.78499275
620,29182,0.72934234
620,29224,1.0
620,30106,1.0
620,31549,1.0
620,32520,0.78499275
620,32634,0.78499275
620,32883,0.78499275
620,32948,0.78499275
620,35425,0.80260396
888,15266,0.965878
888,32506,0.8521768
888,44195,1.0
971,32905,0.76482534
971,34112,0.76482534
1005,12341,0.76085806
1021,1426,0.99999994
1074,1855,0.7072161
1074,21259,0.74274486
1074,25786,0.78131396
1074,33070,0.78131396
1074,34305,0.78131396
1104,8135,0.85555136
1104,14593,0.80564296
1104,16295,0.7583655
1104,19691,0.7436595
1104,20015,0.7650873
1104,20093,0.74636495
1104,21302,0.78301096
1104,24382,0.7501488
1104,24572,0.8460392
1104,27354,0.7909094
1104,30999,0.8542837
1104,32471,0.8109883
1104,32965,0.70701176
1104,34016,0.7757876
1104,44966,0.8350196
1118,2798,0.7156171
1131,39475,0.78297246
1334,12,0.7090897
1334,20200,0.72209775
1334,20594,0.72209775
1334,21029,0.88507825
1334,27370,0.8277365
1334,28039,0.70714426
1426,1021,0.99999994
1468,5898,1.0
1468,24530,0.8480308
1468,43092,0.8022454
1501,1710,0.7876208
1505,1697,0.7525609
1697,1505,0.7525609
1710,1501,0.7876208
1855,1074,0.7072161
1855,8173,0.847131
1855,24280,0.9558551
1855,25786,0.9051625
1855,26592,0.72027576
1855,33070,0.9051625
1855,33084,0.9033676
1855,34305,0.9051625
1876,41908,1.0
1885,14349,0.72793114
1885,23219,0.7233243
1907,12882,0.7890801
2408,23,0.7819454
2408,40,0.7226711
2408,51,0.7304817
2408,3756,0.72757
2408,4102,0.80635756
2408,12137,0.80788076
2408,12485,0.7446183
2408,13683,0.7081624
2408,13701,0.7804065
2408,13703,0.7736631
2408,15227,0.79356176
2408,20297,0.7574794
2408,21117,0.80385655
2408,22049,0.78910893
2408,22597,0.8060511
2408,23095,0.79316705
2408,23141,0.80124485
2408,32746,0.8057293
2408,38008,0.7172372
2408,46161,0.8070015
2559,27537,0.71204
2559,30999,0.7167505
2559,44966,0.72211003
2714,21175,0.71682924
2714,40027,0.85024977
2754,2756,0.7665287
2754,2786,0.70279896
2756,2754,0.7665287
2757,2763,0.7176606
2757,31338,0.71555334
2763,2757,0.7176606
2768,2769,0.91136485
2769,2768,0.91136485
2786,2754,0.70279896
2798,1118,0.7156171
2973,5084,0.7538391
2973,11097,0.7848715
2973,12159,0.7018506
2973,24479,0.78740805
3033,9618,0.73431474
3033,10968,0.899437
3033,13679,0.7092033
3033,15038,0.76175934
3033,15260,0.7650851
